game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
2004,Australian National,Vecchi Elisabetta,Halvorsen Luke,41,24,25,f5f6e6f4e3c5g5g4g3d6e7f3e2d7c4d3f7c6c8f2b5b6c7d1a6b4a3h3b3a5c3a4d2e1c2h6g6e8f8g8h5h4c1h7d8b8b7b1b2a1a2a8a7g7h8h2g2h1g1f1
2004,Australian National,Vecchi Elisabetta,Ortiz George,33,24,38,f5d6c3d3c4f4c5b3d2c6b6e6b5a5f7e3a6b4c7d7e7a7a3c8f2f3e2d8c2g8e8f8f6g6g5c1b7a8b8a4h8h4h7g7h5g3h6g4h3a2b1a1b2d1e1f1g1h1g2h2
2004,Australian National,Vecchi Elisabetta,Cairns Phil,28,24,43,f5d6c3d3c4f3f4g5c6c5d7b3b5g3e6f6e3b4d2a5b6c2g4d1e2h4g6f1e1f2c1d8g1c7e7e8f7f8c8b8g7h5h7b7a6a4h6g2a3a2a1b1b2h1h3h2a8a7g8h8
2004,Australian National,Ortiz George,Halvorsen Luke,40,24,34,f5f6e6f4g5e7e3g6d6f3f7g4f2c5h3h4h5f8d3e2c4g3d1b4d2c6d8e1c3c1f1c2b1g2d7e8g8c7h1g1b2a1h2b3c8h7h6g7b8b7a8b6a7b5a6a5a4a3a2h8
2004,Australian National,Ortiz George,Cairns Matt,62,24,64,f5d6c5f6e6f4c6e7d3c2f8e8d8c3f7d7c4b4c8b6g5h5e3g6c7e2a6b7b5a5a4g7a8a7b8a3h4h3g4g3a2c1b3g8d1h8b1f1d2b2e1a1h7h6f3g2f2h2g1
2004,Australian National,Halvorsen Luke,Wong Alexis,37,24,25,f5d6c4g5e6f6c7c6d7c5f7e7b6f3g6b5e3d8f4g4e8g3c8d2e2b3c1f2d3e1g1c3h5f1d1h4h3h6h7g2a5g8c2a6a7g7h8f8b7a8b8b4a4a3b2b1a1a2h2h1
2004,Australian National,Cairns Phil,Ortiz George,26,24,28,f5d6c3d3c4f4e6f6e3c5b6f3g4e2d2g3f2h3h5f1g6h4h2g5h6e1d1c1c2b1c7d7f7e7c6f8d8e8g8b8c8h8g1h1g2h7g7a6b7a8b5a5a4a3b2a2a1b3b4a7
2004,British Nationals,Leader Imre,Brightwell Graham,39,24,30,f5d6c5f4e3c6d3f6e6d7g4c4g5c3f7d2e7f2c8f3c7d8e2b8f1g6c1h5h4h3g3h2h6h7b5g8c2b6a6b4a3b2b3a5a4e1d1a2a1g2h1g1h8g7f8e8a8b1b7a7
2004,British Nationals,Brightwell Graham,Leader Imre,28,24,34,f5f6e6f4g5e7f7d6d8h6e3g6d7f3h4d3c4c6g3h5g4h3c7f8c3b4a5c8c5e8d2d1f2a4a3e1c1b1e2f1b7b3a2b6h2c2h7b5b8a8g7h8g8h1g1g2a1b2a6a7
2004,British Nationals,Pridmore Ben,Brightwell Graham,30,24,25,f5d6c3d3c4f4c5b5b4b3d2c6b6e2c2e6a6a5a3f3e3f2a4d1g3c1f1f6e1g1b2g2g4g6h1a1b1g5c7a2e7d8f7e8h4a7b7h5h6a8d7b8c8g7h8g8h7f8h3h2
2004,British Nationals,Handel Michael,Brightwell Graham,15,24,26,f5d6c4d3c5f4e3f3c2c6g4d2e6g3f2f6c3e2h3f1e7c7g6f8f7g5h5b3c1e1d7b5b6a6a3b4c8e8a4a5a7g8d1g2d8b8g7h2b7h7h6h8h1g1b2a1b1a8h4a2
2004,British Nationals,Barrass Iain,Brightwell Graham,24,24,18,f5d6c4d3c5f4e3f3c2c6e6d2g4b6b5g3c7a5a6b4c3b3e7f6g6h4a2a3a4c1e2f2h3h5h6g5b2f7f1a1e1d8g2a7f8d7c8h1e8h2g1h7d1b1g7h8g8b8b7a8
2004,British Nationals,Brightwell Graham,Edmead Garry,33,24,33,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5h6h4e8d8c5c6b4e3b6b5g3g4h3h5e2c7c2b3a5a4a6a7a2g7b7e1b8a8c8h7a3a1d2b1b2c1f2g1d1h2h8g8h1f1g2
2004,British Nationals,Dyer Jeremy,Brightwell Graham,26,24,35,f5d6c3d3c4f4f6f3e6e7d7g6d8c5c6c7c8b4h6b6b5a6b3d2a4a5a7f8e8a3a2b8g5h5h4f7e1c2c1d1e2b2g4e3f2h3g7g3g2h8h2f1a1h1g8h7a8b7g1b1
2004,British Nationals,Brightwell Graham,Das Jeremy,52,24,37,f5d6c3d3c4f4f6f3e6e7d7g6f8f7g5h6h4g4h3g3h5h2e2d1f1c5c6e8d8b6e3b5f2c7b4d2g8a5b3a2c2g2a3e1c1g7a1b1a6b2a4a7b8c8h8a8h7g1h1b7
