game_year,tournament,black_player,white_player,black_score,depth,theoretical_score,record
1998,Australian National,Barrow Michael,Ortiz George,9,24,11,f5d6c7f4g3e6d7f7f6g5f8e7h6c6b5g4c4c5h3g6h5d8d3e3f3b6c8b8a6h4e8g8b7a8a7a5b4a3a4b3c2c3a2c1d1a1b1d2e2e1f1f2g2h1h2g1g7h7h8b2
1998,Australian National,Barrow Michael,Hubbard Paul,16,24,24,f5f6d3c5b6e3f2f4d6e2f1c4f3d2e6e1d1g3h3c3b3c2c1a3g4g5h5g6h6h4b4a4b5c6c7e7a6a5a2d7e8f7f8d8c8b7a7a8g7b8g8h8h7a1b1b2g1g2h2h1
1998,Australian National,Hubbard Paul,Hubbard Geoff,26,24,30,f5d6c3d3c4f4c5b3c2e3d2c6b5a4e2e6b4a3f3c1b6f6f7a7a5a6b1a1d7f2f1d1e1g1c7e7d8b8c8e8a2b2a8b7g2h1f8g3h3h2g4h4h5g5g6h6h7h8g7g8
1998,Australian National,Ortiz George,Hubbard Geoff,31,24,35,f5d6c5f4e3c6f3c3d3c4e6d2b5a6b4f6e2a3e7g4g3d7g6b3h3e8d8h4h5g5h6c2f8c8b8c7f7e1a5b6a4h7h8b7f2f1b2b1a1a2d1c1a8a7g1h2g2h1g7g8
1998,Australian National,Ortiz George,Hubbard Paul,35,24,30,f5d6c3d3c4f4c5b3c2e3d2c6b4b5a3e2g4d1a4a5a6b6a7f3g3e6f1b2e1g5h6h4g6h3f2h5h2c1a1a2b1a8b7b8c7g2f7c8h1g1f6f8g7g8h7d7d8e7e8h8
1998,Australian National,Hubbard Paul,Powell Tim,40,24,36,f5d6c3d3c4b5b4f4f6f3e6e7f7c6c5a4d2e2b3d1e3g6a6g4a3a5b6c2g3c7c8d8d7b8b7g8h4g5f2h5h3h2h7e1g2e8f8h1a8a7h8g7b2b1h6a2a1c1f1g1
1998,Australian National,Hubbard Geoff,Barrow Michael,40,24,57,f5d6c3f3d3f4c5c4e3e2d2c6b4c1e6g6b5a4a6d7f2f1d1e1c2b1a3a5b3b2d8e8f8e7f7f6a1a2b6c7c8g7g8b7h8g5h7g4b8h6h3g3h2g2h4h5g1h1a8a7
1998,Australian National,Hubbard Paul,Powell Tim,50,24,44,f5d6c3d3c4f4c5b3c2d2e3b5a6f2d1f3e2b4a3b6a4f1e1g6e7c6e6c7f6d7f7e8g5g3a5h6f8g4h3d8h4g8b8c1h5g2h7g7a7b7h8b2g1h1h2a8c8b1a1a2
1998,Australian National,Ortiz George,Hubbard Geoff,52,24,39,f5d6c3d3c4f4e6b3e2e3f3c5b4f6c6a3a4a5e7b5d7f7g6e1d2g5b6d1c2g4c1f2h5c8d8a6b8f8c7b1h4h6h7h3h2b2g3b7a1a2f1g2a7g7g1h8g8e8h1a8
1998,Australian National,Hubbard Geoff,Powell Tim,56,24,63,f5f6e6f4g5e7f7g6h6h5h4f8g4c5d8d6f3g3h3f2e2d2f1g7e3g1h1g2h7d7e8c8h2g8c2d1e1b3c1d3b1c3a3b2a1c4b4c6b6b5c7a5a4b7h8a2a6a7b8a8
1998,Australian National,Powell Tim,Barrow Michael,64,24,63,f5f6e6f4e3d2d3c3c4b5g5h4f7f8e2f1c2d7b4a5b3c5c1f3a4a3c6d1d6b1f2c7e1g2a1b6a6g1h1g3b2a2h3h2g4h5b7c8a7a8b8d8g6e8g8
1998,British Nationals,Wormley Mark,de Grey Aubrey,2,24,11,f5d6c5f4e3c6e6f7d7f6e7d8f8c8c7b8g8b6a6b5a4a5b4f3c4a3g6a7d3b3g5h6h5h4g4h3g3h7g7h2b7h8b2e8g2a8b1a2a1h1g1f1e2f2d2c1d1e1c2c3
